names,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29
gnaph_acol_1529_00,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.274749994,0.004249211,0.000312,0.000236,0.000472,0.000882,0.02623149,0.000195,0.000751,0.000544,0.000306,0.679428077
gnaph_acol_1529_01,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.010023966,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.614342619,0.03335715,0.000312,0.000236,0.000472,0.000882,0.123257954,0.000195,0.000751,0.000544,0.000306,0.203998402
gnaph_acol_1529_02,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.679388777,0.000847,0.226236762,0.013951858,0.000312,0.000236,0.000472,0.000882,0.065042076,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_03,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.698973572,0.010896165,0.000332,0.000292,0.000204,0.000847,0.265047348,0.004249211,0.000312,0.000236,0.000472,0.000882,0.006826197,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_04,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.011002923,0.000335,0.000295,0.000206,0.000855,0.395014437,0.004290844,0.000315,0.000238,0.000477,0.000891,0.006893078,0.000197,0.000758,0.000549,0.000309,0.568512395
gnaph_acol_1529_05,0.000604,0.000272,0.000226,0.000872,0.000571,0.000569,0.000461,0.000814,0.000357,0.002785855,0.000328,0.000698,0.000391,0.011111793,0.000339,0.000297,0.000208,0.000863,0.398922969,0.0043333,0.000318,0.00024,0.000482,0.0009,0.026750593,0.000199,0.000766,0.000554,0.000313,0.544453664
gnaph_acol_1529_06,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.001205212,0.000335,0.000295,0.000206,0.000855,0.973079336,0.004290844,0.000315,0.000238,0.000477,0.000891,0.006893078,0.000197,0.000758,0.000549,0.000309,0.000245
gnaph_acol_1529_07,0.019997805,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.145743224,0.000847,0.740477023,0.013951858,0.000312,0.000236,0.000472,0.000882,0.065042076,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_08,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.650280838,0.000847,0.245642055,0.023654504,0.000312,0.000236,0.000472,0.000882,0.055339429,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_09,0.000604,0.000272,0.000226,0.000872,0.000571,0.000569,0.000461,0.000814,0.000357,0.002785855,0.000328,0.000698,0.000391,0.001217138,0.000339,0.000297,0.485045655,0.000863,0.389028314,0.014227955,0.000318,0.00024,0.000482,0.0009,0.096013179,0.000199,0.000766,0.000554,0.000313,0.000248
